ID,composition,temperature,target,log_target,family,ChemicalFamily,,,source
3,Li2.4OH0.6Cl,26,8.90E-08,-7.050609993,Anti-Perovskite,Oxides and Other Anions,,,10.1007/BF02375549
2025,Li6FeCl8,25,8.97E-08,-7.047042731,Rocksalt,Halides,,,10.1007/BF02375549
385,Li1.1Cr0.1Hf1.9(PO4)3,25,9.35E-08,-7.029188389,NASICON,Oxides,,,10.1016/j.jpowsour.2012.11.098
587,LiBH4,27,9.89E-08,-7.004803708,Other,Other,,,10.1007/BF02375549
638,Li0.3Sr0.6Ti0.20Fe0.30Ta0.5O3,25,1.00E-07,-7,Perovskite,Oxides,,,10.1007/BF02378009
730,Li4B7O12Cl,25,1.00E-07,-7,Other,Oxides and Other Anions,,,10.1007/BF02378009
654,LiBa2Ti2NbO9,30,1.00E-07,-7,Perovskite,Oxides,,,10.1007/BF02378009
397,Li1.02Zr1.98Y0.02(PO4)3,25,1.15E-07,-6.93930216,NASICON,Oxides,,,10.1016/0167-2738(94)90309-3
384,Li1.5Cr0.5Hf1.5(PO4)3,25,1.18E-07,-6.928117993,NASICON,Oxides,,,10.1021/cm011149s
411,Li2FeZr(PO4)3,25,1.44E-07,-6.841637508,NASICON,Oxides,,,10.1016/0167-2738(94)90309-3
701,Li5NI2,25,1.50E-07,-6.823908741,Other,Halides,,,10.1021/cm011149s
703,Li6NiBr3,25,1.50E-07,-6.823908741,Rocksalt,Halides,,,10.1021/cm020609u
86,(Li2S)0.4((P2S5)0.4(Sb2S3)0.6)0.6,25,1.60E-07,-6.795880017,Glass,Sulphides,,,10.1021/cm011149s
891,Li6MgLa2Ta2O12,21.1,1.92E-07,-6.716698771,Garnet,Oxides,,,10.1016/j.ssi.2008.03.015
2010,Li1.9Mg0.1TiO3.05,25,1.96E-07,-6.708504408,Rocksalt,Sulphides and Other Anions,,,10.1149/1.1629102
84,(Li2S)0.5((P2S5)0.4(Sb2S3)0.6)0.5,34,2.26E-07,-6.645891561,Glass,Sulphides,,,10.1021/cm011149s
268,Li9SiAlO8,30,2.30E-07,-6.638272164,Glass,Oxides,,,10.1006/jssc.1998.7904
327,Li0.2Zr1.2Nb0.8(PO4)3,25,2.38E-07,-6.623423043,NASICON,Oxides,,,10.1016/j.ssi.2009.08.002
399,Li0.98Zr1.98Nb0.02(PO4)3,25,2.50E-07,-6.602059991,NASICON,Oxides,,,10.1016/S0167-2738(98)00414-7
781,Li4GeS4,25,2.51E-07,-6.600153287,Thio-LISICON,Sulphides,,,10.1021/cm020609u
383,Li1.2Cr0.2Hf1.8(PO4)3,25,2.54E-07,-6.595166283,NASICON,Oxides,,,10.1021/cm011149s
858,(Li2S)(LaOI),30,2.75E-07,-6.560667306,Glass,Sulphides and Other Anions,,,10.2109/jcersj.105.548
859,Li3.9Zn0.05GeS4,25,2.84E-07,-6.54668166,Thio-LISICON,Sulphides,,,10.1016/0025-5408(89)90129-3
341,Li1.2Sc0.2Ti0.2Zr1.5(PO4)3,25,3.10E-07,-6.508638306,NASICON,Oxides,,,10.1021/cm011149s
410,Li2FeTi(PO4)3,25,3.34E-07,-6.476253533,NASICON,Oxides,,,10.1007/s11581-006-0011-9
534,LiTi2P3O12,30,4.00E-07,-6.397940009,NASICON,Oxides,,,10.1016/0038-1098(93)90841-A
,LiZr2(PO4)3,25,0.000001675,-6.391258028,NASICON,Oxides,,,10.1016/S0167-2738(98)00070-8
255,(Li2O)50(LiF)20(P2O5)30,25,4.40E-07,-6.356547324,Glass,Oxides and Other Anions,,,10.1016/0167-2738(94)90310-7
409,Li2CrTi(PO4)3,25,4.41E-07,-6.355561411,NASICON,Oxides,,,10.1021/cm9810382
