MP ID,Formula,Energy Above Hull (eV),Band Gap (eV)
mp-1110973,Cs2LiNdF6,0.03978248,7.055
mp-1112834,Cs2LiNdI6,0,2.9743
mp-989536,Cs2LiNF6,0.002199599,2.467
mp-1111839,Cs2LiPrBr6,0,3.9721
mp-1111836,Cs2LiPrCl6,0.014560851,4.7971
mp-1110972,Cs2LiPrF6,0.023270646,6.9993
mp-1113008,Cs2LiPrI6,0,2.9609
mp-1111835,Cs2LiSbBr6,0.022989746,2.3396
mp-1111439,Cs2LiSbCl6,0.018715156,2.9508
mp-1110971,Cs2LiSbF6,0.089258367,4.1258
mp-1112673,Cs2LiSbI6,0.035539827,1.7376
mp-1189625,Cs2LiScCl6,0,3.8154
mp-1113081,Cs2LiScF6,0.022663993,6.6268
mp-1112671,Cs2LiSmCl6,0,4.9508
mp-1112669,Cs2LiTbCl6,0,5.0434
mp-1112670,Cs2LiTlBr6,0.030591878,0.5505
mp-1112999,Cs2LiTlCl6,0.018131119,1.5236
mp-989562,Cs2LiTlF6,0.010150474,3.4749
mp-1235075,Cs2LiTm2(WO4)4,0.065564648,2.2391
mp-1112998,Cs2LiTmCl6,0,5.2527
mp-1226312,Cs2LiV3F12,0,2.1634
mp-541190,Cs2LiVO4,0,3.9955
mp-510338,Cs2LiVS4,0,1.5878
mp-1111833,Cs2LiYBr6,0,4.0508
mp-567652,Cs2LiYCl6,0,4.8986
mp-1110969,Cs2LiYF6,0.015688844,7.2663
mp-1112663,Cs2LiYI6,0,3.0085
mp-1019609,Cs2Sr2Li3B3(PO4)6,0,5.6029
mp-1213966,Cs3Li2Al(MoO4)4,0.006696491,4.2898
mp-1080005,Cs3Li2Br5,0.018307364,4.5306
mp-570756,Cs3Li2Cl5,0.026562725,5.0892
mp-558728,Cs3Li2F5,0.043857673,5.7273
mp-1213707,Cs3Li2Fe(MoO4)4,0.016628485,2.9686
mp-573196,Cs3Li2Ga(MoO4)4,0.005336923,4.0242
mp-1181918,Cs3Li2I5,0.016587095,3.7443
mp-1019615,Cs3Li4(BO2)7,0,4.5217
mp-1189357,Cs3LiBr4,0.042431251,4.035
mp-606711,Cs3LiCl4,0.059352564,4.6835
mp-559766,Cs3LiF4,0.012425062,5.6548
mp-569238,Cs3LiI4,0.018203996,3.8043
mp-1213704,Cs3LiPb4,0,0.7565
mp-607931,Cs3NaLi2(BO3)2,0,3.454
mp-15079,Cs4KLiGa2F12,0,6.0451
mp-562394,Cs4Li2(Si2O5)3,0,4.1657
mp-1019708,CsBaLiP2O7,0,4.8878
mp-17718,CsKNa2Li12(SiO4)4,0,4.7221
mp-720245,CsKNaLi13(SiO4)4,0.081428313,3.8945
mp-1019715,CsLi(B3O5)2,0,5.2081
mp-642740,CsLi(H2N)2,0,1.997
mp-560667,CsLi(PO3)2,0,5.2843
mp-697181,CsLi2(HO)3,0,4.1415
mp-606680,CsLi2Br3,0.005660853,4.2829
mp-559238,CsLi2BS3,0,3.0936
mp-1190687,CsLi2Cl3,0,5.326
mp-606604,CsLi2F3,0.057683143,7.0403
mp-1197930,CsLi2Gd4(BO3)5,0,2.5666
mp-569055,CsLi2I3,0.017335858,4.4204
mp-580554,CsLi3Br4,0.050124007,4.1475
mp-571666,CsLi3Cl4,0.028355159,5.2744
mp-555439,CsLi3F4,0.066276816,6.7384
mp-1184020,CsLi3I4,0.010985521,4.2797
mp-1019716,CsLi4(BO2)5,0.00274445,4.4885
mp-555082,CsLi5(BO3)2,0,3.9878
mp-1195536,CsLi5Mn(P2O7)2,0,3.959
mp-18704,CsLiBeF4,0,7.0366
mp-23057,CsLiBr2,0,4.1375
mp-1188344,CsLiCl2,0,5.1073
mp-561778,CsLiCrO4,0,2.7465
mp-7594,CsLiF2,0,6.2744
mp-699459,CsLiH4S2(NO3)2,0.064563888,5.5265
mp-755891,CsLiH4SO5,0.047502466,4.3863
mp-1190087,CsLiI2,0.023754327,3.7263
mp-752778,CsLiMnP3HO10,0.04867523,2.0233
mp-1225894,CsLiMnS2,0,0.8093
mp-551629,CsLiMoO4,0,4.424
mp-1178393,CsLiO,0.058514978,2.3972
mp-6726,CsLiSO4,0,5.378
mp-1178391,CsLiWO4,0,4.4294
mp-1225887,CsLiZnS2,0,2.5019
mp-17125,CsNa3Li12(GeO4)4,0.000568081,3.7823
mp-1225077,K11Li4Ta15O45,0.057824469,2.1207
mp-560465,K11LiMn4O16,0,1.2347
mp-1198663,K2Li(H2N)3,0,2.3848
mp-504806,K2Li14Pb3O14,0,1.9157
mp-17208,K2Li14Zr3O14,0,4.2801
mp-761245,K2Li2CoO4,0.019667675,1.0448
mp-762240,K2Li2TiO4,0.01996281,4.2118
mp-1019778,K2Li3B(P2O7)2,0,5.5903
mp-757868,K2Li3CoO4,0,1.2641
mp-766413,K2Li3CrO4,0.070719316,1.0504
mp-16955,K2Li3FeO4,0,3.0917
mp-17774,K2Li3GaO4,0,3.3151
mp-774432,K2Li3NiO4,0,1.4741
mp-556996,K2LiAlF6,0,7.2639
mp-23774,K2LiAlH6,0,2.5761
mp-6450,K2LiAlP2,0,1.8853
mp-1111928,K2LiAsF6,0.002892717,4.5591
mp-1019782,K2LiB(PO4)2,0,5.3944
mp-1110902,K2LiBiBr6,0.040128528,2.9174
mp-1110869,K2LiBiCl6,0,3.6182
mp-1110838,K2LiBiF6,0.055445205,4.8822
mp-1110941,K2LiBiI6,0.078309454,1.9247
mp-557632,K2LiBO3,0,3.5239
mp-1195085,K2LiC3(SN)3,0.007124122,4.4492
mp-1112201,K2LiCeF6,0.088923485,0.5648
mp-1111927,K2LiCrF6,0,4.1644
mp-1207213,K2LiCuF6,0,0.9248
mp-1111259,K2LiDyCl6,0.025919943,5.0198
mp-1111256,K2LiErCl6,0.020663619,5.0496
mp-1112185,K2LiFeF6,0,3.9473
mp-756221,K2LiFeO3,0.027620603,2.0402
mp-9703,K2LiGaAs2,0,0.7546
mp-1111112,K2LiGaF6,0,6.1271
mp-1111673,K2LiGdCl6,0.036905918,2.8434
mp-1197982,K2LiIn(MoO4)3,0,3.7751
mp-1111672,K2LiInCl6,0.015773579,2.865
mp-1111671,K2LiInF6,0,5.2984
mp-1111926,K2LiIrF6,0.018296613,2.0832
mp-1111257,K2LiLaCl6,0.071885849,4.554
mp-1111126,K2LiLuCl6,0,5.0952
mp-1290836,K2LiMn2O4,0.091770437,1.1093
mp-759934,K2LiMnPCO7,0.061523401,3.2914
mp-1110868,K2LiMoBr6,0.055488526,1.2722
mp-1110855,K2LiMoCl6,0.037877212,1.4862
mp-1110837,K2LiMoF6,0,4.4161
mp-1110940,K2LiMoI6,0.08526148,0.974
mp-695505,K2LiNb6(PO8)3,0,2.2981
mp-759900,K2LiNbO4,0,4.1581
mp-1110901,K2LiNdBr6,0.062297647,3.973
mp-1110867,K2LiNdCl6,0.062181095,4.8605
mp-1110836,K2LiNdF6,0.088220108,6.3791
mp-1110939,K2LiNdI6,0.069774855,2.9488
mp-1110900,K2LiPrBr6,0.068903642,3.9531
mp-1110866,K2LiPrCl6,0.069686381,4.8264
mp-1110938,K2LiPrI6,0.07557773,2.9382
mp-1111665,K2LiRhF6,0,1.7665
mp-1110899,K2LiSbBr6,0.024960146,2.3188
mp-1110865,K2LiSbCl6,0.039365219,2.9339
mp-1110835,K2LiSbF6,0.073283825,4.1086
mp-1110937,K2LiSbI6,0.073728096,1.7108
mp-1111932,K2LiScCl6,0.008983276,3.7414
mp-1111110,K2LiScF6,0,6.7733
mp-1111244,K2LiSmCl6,0.049609306,4.9171
mp-680450,K2LiSn4,0,0.6937
mp-684817,K2LiTa6(PO8)3,0,3.0471
mp-1110864,K2LiTbCl6,0.032632476,4.9973
mp-1111242,K2LiTlBr6,0.069473285,0.5593
mp-1111660,K2LiTlCl6,0.03770454,1.5798
mp-1111658,K2LiTlF6,0.005783713,3.5058
mp-1111657,K2LiTmCl6,0.015268235,5.0647
mp-1203349,K2LiV5H10O19,0.024092448,2.5943
mp-558369,K2LiVO4,0,3.9761
mp-761139,K2LiVPO6,0.083934747,4.1096
mp-767165,K2LiVS4,0,1.5185
mp-1110898,K2LiYBr6,0.023624169,4.036
mp-1110863,K2LiYCl6,0.026136443,4.9248
mp-1110834,K2LiYF6,0.046550408,6.6971
mp-1110936,K2LiYI6,0.061759065,2.9702
mp-1224604,K2Na4Li2Ti4Mn3Fe(SiO3)16,0.006681589,1.7582
mp-1195057,K3Ba3Li2Al4B6O20F,0,4.1017
mp-766938,K3Li2Nb5O15,0.010796768,2.2722
mp-560739,K3Li3TeO6,0,2.6948
mp-1211905,K3LiGe4,0,1.0603
mp-694935,K3LiMg4(Si2O5)6,0,4.7657
mp-725121,K3LiMn4(MoO4)6,0,2.576
mp-1019794,K3LiP2O7,0,4.6083
mp-1212210,K3LiPb4,0.001038794,0.6083
mp-28316,K3LiSi4,0.00683226,1.5222
mp-561474,K3LiSiO4,0,4.173
mp-755707,K3LiTi7O16,0.003254682,2.8256
mp-559875,K3Na2LiTeO6,0,2.2126
mp-849406,K4Li3Nb18P12(WO42)2,0.002820695,0.8404
mp-1178153,K4Li5Cr2O8,0.083344305,1.079
mp-760896,K4Li5Mn2O8,0.081332442,0.5408
mp-709186,K4LiH3(SO4)4,0,5.394
mp-558483,K4LiIO6,0,2.0858
mp-557798,K5Li2NdF10,0,6.4522
mp-1196988,K5Li2PrF10,0,6.4766
mp-766047,K5Li3Ti8(AsO5)8,0.008487035,3.0181
mp-557473,K5LiGe2O7,0,2.9956
mp-3949,K7LiSi8,0,1.6927
mp-759598,K8Li13(FeO4)4,0.075221498,1.7424
mp-850924,K8Li9Cr4O16,0.068670087,0.7693
mp-556215,K9Li3I2O13,0.053106658,0.763
mp-1195894,K9Li3Nd3(BO3)7,0,3.7614
mp-1223441,KBaLiZnF6,0.007384823,5.5617
mp-1197966,KLi(BH4)2,0.002864599,6.1328
mp-1190477,KLi(C2N3)2,0.088482849,4.5375
mp-559142,KLi(PO3)2,0,5.2914
mp-1178148,KLi(WO3)3,0.035912371,1.0924
mp-1188395,KLi2(HO)3,0,4.2639
mp-28994,KLi2As,0,0.6878
mp-558628,KLi2BO3,0,3.999
mp-1297690,KLi2FeO3,0.048726849,2.1349
mp-780874,KLi2Mn2O4,0.095594398,0.7207
mp-761146,KLi2MnPCO7,0.069951223,3.0119
mp-759715,KLi2Sb(PO4)2,0.082224716,3.4286
mp-641919,KLi3Ca7Ti2Si12(O18F)2,0,3.5221
mp-18002,KLi3GeO4,0,3.9368
mp-559106,KLi3PbO4,0,1.6931
mp-6844,KLi3Si12(SnO15)2,0,4.4356
mp-1211498,KLi3SiO4,0,4.8757
mp-1211546,KLi3TiO4,0,4.6824
mp-16055,KLi3Zr2(Si2O5)6,0,5.1498
