formula,SIC,,,,,,
Cs2Li3(BO2)5,0.47576004,,,,,,
Cs2Li3B3P6(PbO12)2,0.13753188,,,,,,
Cs2Li3Br5,0.49848193,,,,,,
Cs2Li3F5,0.37851283,,,,,,
Cs2Li3GaO4,0.39257607,,,,,,
Cs2Li3I5,0.4082976,,,,,,
Cs2Li5(BO2)7,0.73872495,,,,,,
Cs2LiAl3F12,0.23081169,,,,,,
Cs2LiAlF6,0.17133574,,,,,,
Cs2LiAsO4,0.08203213,,,,,,
Cs2LiAuCl6,0.39053792,,,,,,
Cs2LiAuF6,0.23372252,,,,,,
Cs2LiBiBr6,0.40073085,,,,,,
Cs2LiBiCl6,0.3912329,,,,,,
Cs2LiBiF6,0.25470036,,,,,,
Cs2LiBiI6,0.39882776,,,,,,
Cs2LiBr3,0.34090218,,,,,,
Cs2LiCeBr6,0.40073085,,,,,,
Cs2LiCeCl6,0.39511365,,,,,,
Cs2LiCeF6,0.25470036,,,,,,
Cs2LiCeI6,0.39882776,,,,,,
Cs2LiCl3,0.33604234,,,,,,
Cs2LiCo(CN)6,0.31169522,,,,,,
Cs2LiCr(CN)6,0.20320983,,,,,,
Cs2LiCr3F12,0.23081169,,,,,,
Cs2LiCrF6,0.17872778,,,,,,
Cs2LiDyCl6,0.39511365,,,,,,
Cs2LiErCl6,0.39511365,,,,,,
Cs2LiEuCl6,0.39511365,,,,,,
Cs2LiF3,0.21705382,,,,,,
Cs2LiFe(CN)6,0.31916846,,,,,,
Cs2LiGaF6,0.18851498,,,,,,
Cs2LiGdCl6,0.39511365,,,,,,
Cs2LiInBr6,0.4598151,,,,,,
Cs2LiInCl6,0.441146415,,,,,,
Cs2LiInF6,0.1743289,,,,,,
Cs2LiIr(CN)6,0.14804949,,,,,,
Cs2LiLaBr6,0.40073085,,,,,,
Cs2LiLaCl6,0.39511365,,,,,,
Cs2LiLuCl6,0.3948844,,,,,,
Cs2LiMn(CN)6,0.31367305,,,,,,
Cs2LiMnO4,0.1006163,,,,,,
Cs2LiMoBr6,0.4598151,,,,,,
Cs2LiMoCl6,0.4370361,,,,,,
Cs2LiMoI6,0.4578945,,,,,,
Cs2LiNbF6,0.16326606,,,,,,
Cs2LiNbS4,0.20573142,,,,,,
Cs2LiNd(BO3)2,0.66269594,,,,,,
Cs2LiNdBr6,0.40073085,,,,,,
Cs2LiNdCl6,0.39511365,,,,,,
Cs2LiNdF6,0.25470036,,,,,,
Cs2LiNdI6,0.39882776,,,,,,
Cs2LiNF6,0.43540716,,,,,,
Cs2LiPdF6,0.16412134,,,,,,
Cs2LiPrBr6,0.40073085,,,,,,
Cs2LiPrCl6,0.39511365,,,,,,
Cs2LiPrF6,0.25470036,,,,,,
Cs2LiPrI6,0.39759073,,,,,,
Cs2LiSbBr6,0.42102972,,,,,,
Cs2LiSbCl6,0.41167074,,,,,,
Cs2LiSbF6,0.21279092,,,,,,
Cs2LiSbI6,0.78685486,,,,,,
Cs2LiScCl6,0.441146415,,,,,,
Cs2LiSmCl6,0.39511365,,,,,,
Cs2LiTaBr6,0.40073085,,,,,,
Cs2LiTaCl6,0.37740237,,,,,,
Cs2LiTaI6,0.39882776,,,,,,
Cs2LiTbCl6,0.39511365,,,,,,
Cs2LiTlBr6,0.40073085,,,,,,
Cs2LiTlCl6,0.39511365,,,,,,
Cs2LiTlF6,0.23372252,,,,,,
Cs2LiTmCl6,0.38151237,,,,,,
Cs2LiV3F12,0.15327473,,,,,,
Cs2LiVO4,0.0986677,,,,,,
Cs2LiVS4,0.3377968,,,,,,
Cs2LiYBr6,0.4598151,,,,,,
Cs2LiYCl6,0.44119152,,,,,,
Cs2LiYF6,0.18340684,,,,,,
Cs2LiYI6,0.44508618,,,,,,
Cs2NaLiF6,0.16745165,,,,,,
Cs2Sr2Li3B3(PO4)6,0.13742343,,,,,,
Cs3Li2Al(MoO4)4,0.87091416,,,,,,
Cs3Li2Br5,0.49620047,,,,,,
Cs3Li2Cl5,0.15370162,,,,,,
Cs3Li2F5,0.32746,,,,,,
Cs3Li2Fe(MoO4)4,0.87091416,,,,,,
Cs3Li2Ga(MoO4)4,0.87091416,,,,,,
Cs3Li2I5,0.46682853,,,,,,
Cs3Li4(BO2)7,0.44781217,,,,,,
Cs3LiCl4,0.14827796,,,,,,
Cs3LiF4,0.17038865,,,,,,
Cs3LiI4,0.21319453,,,,,,
Cs3LiPb4,0.50049436,,,,,,
Cs3NaLi2(BO3)2,0.49859095,,,,,,
Cs4KLiFe2F12,0.8642026,,,,,,
Cs4KLiGa2F12,0.8532327,,,,,,
Cs4Li2(Si2O5)3,0.06848369,,,,,,
CsBaLiP2O7,0.02222855,,,,,,
CsKNa2Li12(SiO4)4,0.7033538,,,,,,
CsKNaLi13(SiO4)4,0.7032077,,,,,,
CsLi(B3O5)2,0.086623853,,,,,,
CsLi(H2N)2,0.01380271,,,,,,
CsLi(PO3)2,0.03643629,,,,,,
CsLi2(H2N)3,0.01226109,,,,,,
CsLi2(HO)3,0.02773618,,,,,,
CsLi2Br3,0.49093413,,,,,,
CsLi2BS3,0.7178746,,,,,,
CsLi2C,0.8984512,,,,,,
CsLi2Cl3,0.27720403,,,,,,
CsLi2F3,0.36703086,,,,,,
CsLi2Gd4(BO3)5,0.47925386,,,,,,
